time_ms,event,duration(ms),copyKind,data_B,streamId
3129,5,0,-1,0,98
3219,3,0,-1,0,86
3264,6,1,-1,0,82
3284,5,0,-1,0,78
3348,5,0,-1,0,86
3349,6,0,-1,0,82
3539,4,1,-1,0,70
9031,8,0,-1,0,90
9033,5,0,-1,0,78
9034,5,0,-1,0,78
9034,8,0,-1,0,98
9034,5,0,-1,0,98
9037,5,0,-1,0,70
9039,9,0,-1,0,90
9082,5,0,-1,0,82
9082,8,0,-1,0,98
9082,8,0,-1,0,78
9083,8,0,-1,0,74
9083,5,0,-1,0,70
9083,9,0,-1,0,70
9083,5,0,-1,0,86
9084,5,0,-1,0,94
9084,5,0,-1,0,82
9085,8,0,-1,0,90
9085,9,0,-1,0,74
9086,5,0,-1,0,98
9086,5,0,-1,0,94
9087,11,0,-1,0,86
9090,11,0,-1,0,74
9095,5,0,-1,0,86
9109,8,0,-1,0,74
9115,5,1,-1,0,86
9121,8,0,-1,0,78
9164,5,0,-1,0,94
9164,5,0,-1,0,82
9164,10,0,-1,0,94
9165,8,0,-1,0,90
9165,11,0,-1,0,82
9165,11,0,-1,0,78
9165,5,0,-1,0,74
9166,5,0,-1,0,70
9167,8,0,-1,0,98
9167,12,0,-1,0,74
9168,8,0,-1,0,78
9168,5,0,-1,0,98
9168,5,0,-1,0,86
9168,5,0,-1,0,86
9168,8,0,-1,0,82
9169,5,0,-1,0,74
9169,5,0,-1,0,74
9171,11,0,-1,0,70
9173,5,0,-1,0,78
9187,8,0,-1,0,74
9187,8,0,-1,0,90
9188,5,1,-1,0,98
9189,8,0,-1,0,86
9190,11,0,-1,0,98
9191,5,0,-1,0,74
9193,5,0,-1,0,94
9195,5,0,-1,0,94
9195,5,0,-1,0,90
9195,11,0,-1,0,86
9327,10,0,-1,0,94
9347,8,0,-1,0,98
9348,8,0,-1,0,90
9350,5,0,-1,0,98
9351,14,0,-1,0,78
9352,5,0,-1,0,86
9354,5,0,-1,0,94
9354,16,0,-1,0,82
9354,11,0,-1,0,90
9354,15,0,-1,0,90
9355,5,0,-1,0,94
9355,5,0,-1,0,70
9356,8,0,-1,0,70
9355,16,0,-1,0,98
9356,16,0,-1,0,86
9371,15,0,-1,0,70
13806,22,0,-1,0,70
13822,30,6,-1,0,70
13854,37,66,-1,0,70
13960,22,0,-1,0,94
13976,32,0,-1,0,70
13997,19,2,-1,0,94
14031,14,0,-1,0,70
14046,25,0,-1,0,120
14062,30,6,-1,0,90
14077,34,5,-1,0,90
14079,27,4,-1,0,98
14097,45,2,-1,0,70
14089,29,0,-1,0,98
14113,35,4,-1,0,98
14144,34,5,-1,0,94
14135,23,0,-1,0,74
14136,33,4,-1,0,70
14178,39,2,-1,0,94
14159,19,27,-1,0,90
14183,41,25,-1,0,70
14219,42,32,-1,0,70
14225,19,2,-1,0,78
14242,44,2,-1,0,94
14260,50,2,-1,0,94
14237,25,0,-1,0,156
14239,23,0,-1,0,147
14252,43,12,-1,0,70
14299,49,2,-1,0,70
14290,14,0,-1,0,98
14262,18,0,-1,0,82
14274,24,0,-1,0,82
14279,34,2,-1,0,94
14282,36,3,-1,0,78
14294,40,35,-1,0,94
14295,32,0,-1,0,82
14309,19,2,-1,0,82
14334,45,1,-1,0,120
14345,36,3,-1,0,74
14330,18,0,-1,0,94
14353,52,16,-1,0,70
14365,47,2,-1,0,98
14365,42,32,-1,0,94
14380,36,1,-1,0,90
14380,38,20,-1,0,86
14385,53,15,-1,0,70
14403,40,35,-1,0,98
14441,47,2,-1,0,94
14410,56,1,-1,0,70
14413,44,2,-1,0,74
14431,50,2,-1,0,74
14427,34,1,-1,0,70
14431,38,20,-1,0,86
14462,14,0,-1,0,78
14438,41,24,-1,0,98
14454,32,0,-1,0,74
14464,38,20,-1,0,82
14468,18,0,-1,0,70
14497,52,16,-1,0,94
14513,45,2,-1,0,120
14499,42,16,-1,0,78
14535,45,2,-1,0,129
14513,41,12,-1,0,94
14526,44,2,-1,0,86
14532,47,2,-1,0,156
14529,53,15,-1,0,94
14535,38,17,-1,0,90
14546,38,9,-1,0,78
