time,cpu,user,nice,system,idle,iowait,irq,softirq
1555986796.2799869,-1,233223,1301,117380,245180332,24277,0,12906
1555986796.2799869,0,32019,281,22560,30602750,6443,0,8785
1555986796.2799869,1,37011,425,17325,30641314,1286,0,8
1555986796.2799869,2,27886,263,15282,30656690,985,0,28
1555986796.2799869,3,24161,43,15209,30655424,3380,0,18
1555986796.2799869,4,28115,89,10950,30663685,133,0,7
1555986796.2799869,5,25673,101,10253,30666509,108,0,1
1555986796.2799869,6,26687,40,12001,30656424,7140,0,59
1555986796.2799869,7,31668,56,13797,30637533,4798,0,3998
1555986796.3801663,-1,233225,1301,117392,245180398,24277,0,12906
1555986796.3801663,0,32019,281,22561,30602759,6443,0,8785
1555986796.3801663,1,37012,425,17332,30641317,1286,0,8
1555986796.3801663,2,27886,263,15282,30656700,985,0,28
1555986796.3801663,3,24162,43,15209,30655432,3380,0,18
1555986796.3801663,4,28115,89,10950,30663694,133,0,7
1555986796.3801663,5,25674,101,10254,30666518,108,0,1
1555986796.3801663,6,26687,40,12002,30656432,7140,0,59
1555986796.3801663,7,31668,56,13798,30637542,4798,0,3998
1555986796.4801598,-1,233227,1301,117401,245180467,24277,0,12906
1555986796.4801598,0,32019,281,22561,30602769,6443,0,8785
1555986796.4801598,1,37013,425,17337,30641321,1286,0,8
1555986796.4801598,2,27886,263,15283,30656709,985,0,28
1555986796.4801598,3,24162,43,15209,30655442,3380,0,18
1555986796.4801598,4,28115,89,10950,30663704,133,0,7
1555986796.4801598,5,25674,101,10254,30666528,108,0,1
1555986796.4801598,6,26687,40,12002,30656442,7140,0,59
1555986796.4801598,7,31669,56,13801,30637548,4798,0,3998
1555986796.5801322,-1,233228,1301,117410,245180537,24277,0,12906
1555986796.5801322,0,32019,281,22561,30602779,6443,0,8785
1555986796.5801322,1,37013,425,17337,30641331,1286,0,8
1555986796.5801322,2,27886,263,15283,30656719,985,0,28
1555986796.5801322,3,24162,43,15209,30655452,3380,0,18
1555986796.5801322,4,28115,89,10950,30663714,133,0,7
1555986796.5801322,5,25674,101,10254,30666538,108,0,1
1555986796.5801322,6,26687,40,12002,30656452,7140,0,59
1555986796.5801322,7,31670,56,13810,30637548,4798,0,3998
1555986796.6801596,-1,233229,1301,117416,245180609,24278,0,12906
1555986796.6801596,0,32019,281,22566,30602784,6443,0,8785
1555986796.6801596,1,37013,425,17337,30641341,1286,0,8
1555986796.6801596,2,27886,263,15283,30656729,985,0,28
1555986796.6801596,3,24162,43,15209,30655462,3380,0,18
1555986796.6801596,4,28115,89,10950,30663724,133,0,7
1555986796.6801596,5,25674,101,10254,30666548,108,0,1
1555986796.6801596,6,26687,40,12003,30656461,7140,0,59
1555986796.6801596,7,31670,56,13811,30637557,4798,0,3998
1555986796.7801492,-1,233229,1301,117427,245180679,24278,0,12906
1555986796.7801492,0,32019,281,22576,30602784,6443,0,8785
1555986796.7801492,1,37013,425,17337,30641351,1286,0,8
1555986796.7801492,2,27886,263,15283,30656739,985,0,28
1555986796.7801492,3,24162,43,15209,30655471,3380,0,18
1555986796.7801492,4,28115,89,10950,30663734,133,0,7
1555986796.7801492,5,25674,101,10254,30666558,108,0,1
1555986796.7801492,6,26687,40,12003,30656471,7140,0,59
1555986796.7801492,7,31670,56,13811,30637567,4798,0,3998
1555986796.8801506,-1,233229,1301,117437,245180748,24278,0,12906
1555986796.8801506,0,32019,281,22586,30602784,6443,0,8785
1555986796.8801506,1,37013,425,17337,30641361,1286,0,8
1555986796.8801506,2,27886,263,15283,30656749,985,0,28
1555986796.8801506,3,24162,43,15209,30655481,3380,0,18
1555986796.8801506,4,28115,89,10951,30663744,133,0,7
1555986796.8801506,5,25674,101,10254,30666568,108,0,1
1555986796.8801506,6,26688,40,12003,30656481,7140,0,59
1555986796.8801506,7,31670,56,13811,30637577,4798,0,3998
1555986796.980112,-1,233229,1301,117447,245180818,24278,0,12906
1555986796.980112,0,32019,281,22596,30602784,6443,0,8785
1555986796.980112,1,37013,425,17337,30641371,1286,0,8
1555986796.980112,2,27886,263,15283,30656759,985,0,28
1555986796.980112,3,24162,43,15209,30655491,3380,0,18
1555986796.980112,4,28115,89,10951,30663754,133,0,7
1555986796.980112,5,25674,101,10254,30666578,108,0,1
1555986796.980112,6,26688,40,12003,30656491,7140,0,59
1555986796.980112,7,31670,56,13811,30637587,4798,0,3998
1555986797.0801685,-1,233229,1301,117457,245180887,24278,0,12906
1555986797.0801685,0,32019,281,22606,30602784,6443,0,8785
1555986797.0801685,1,37013,425,17337,30641381,1286,0,8
1555986797.0801685,2,27886,263,15283,30656769,985,0,28
1555986797.0801685,3,24162,43,15209,30655501,3380,0,18
1555986797.0801685,4,28115,89,10951,30663764,133,0,7
1555986797.0801685,5,25674,101,10254,30666588,108,0,1
1555986797.0801685,6,26688,40,12003,30656501,7140,0,59
1555986797.0801685,7,31670,56,13811,30637597,4798,0,3998
1555986797.180146,-1,233230,1301,117467,245180957,24278,0,12906
1555986797.180146,0,32019,281,22616,30602784,6443,0,8785
1555986797.180146,1,37013,425,17337,30641391,1286,0,8
1555986797.180146,2,27886,263,15284,30656779,985,0,28
1555986797.180146,3,24162,43,15209,30655511,3380,0,18
1555986797.180146,4,28115,89,10951,30663774,133,0,7
1555986797.180146,5,25674,101,10254,30666598,108,0,1
1555986797.180146,6,26688,40,12003,30656511,7140,0,59
1555986797.180146,7,31670,56,13811,30637607,4798,0,3998
1555986797.2801335,-1,233230,1301,117477,245181026,24278,0,12906
1555986797.2801335,0,32019,281,22626,30602784,6443,0,8785
1555986797.2801335,1,37013,425,17337,30641400,1286,0,8
1555986797.2801335,2,27886,263,15284,30656789,985,0,28
1555986797.2801335,3,24162,43,15209,30655521,3380,0,18
1555986797.2801335,4,28115,89,10951,30663784,133,0,7
1555986797.2801335,5,25674,101,10254,30666608,108,0,1
1555986797.2801335,6,26688,40,12003,30656520,7140,0,59
1555986797.2801335,7,31670,56,13811,30637617,4798,0,3998
1555986797.3801684,-1,233230,1301,117488,245181096,24278,0,12906
1555986797.3801684,0,32019,281,22636,30602784,6443,0,8785
1555986797.3801684,1,37013,425,17337,30641410,1286,0,8
1555986797.3801684,2,27886,263,15284,30656799,985,0,28
1555986797.3801684,3,24162,43,15209,30655531,3380,0,18
1555986797.3801684,4,28115,89,10951,30663794,133,0,7
1555986797.3801684,5,25674,101,10254,30666618,108,0,1
1555986797.3801684,6,26688,40,12003,30656530,7140,0,59
1555986797.3801684,7,31670,56,13811,30637627,4798,0,3998
1555986797.4801326,-1,233230,1301,117498,245181165,24278,0,12906
1555986797.4801326,0,32019,281,22646,30602784,6443,0,8785
1555986797.4801326,1,37013,425,17337,30641420,1286,0,8
1555986797.4801326,2,27886,263,15284,30656809,985,0,28
1555986797.4801326,3,24162,43,15209,30655541,3380,0,18
1555986797.4801326,4,28115,89,10951,30663804,133,0,7
1555986797.4801326,5,25674,101,10254,30666628,108,0,1
1555986797.4801326,6,26688,40,12003,30656540,7140,0,59
1555986797.4801326,7,31670,56,13811,30637637,4798,0,3998
1555986797.5801315,-1,233230,1301,117508,245181235,24278,0,12906
1555986797.5801315,0,32019,281,22656,30602784,6443,0,8785
1555986797.5801315,1,37013,425,17337,30641430,1286,0,8
1555986797.5801315,2,27886,263,15284,30656818,985,0,28
1555986797.5801315,3,24163,43,15209,30655551,3380,0,18
1555986797.5801315,4,28115,89,10951,30663814,133,0,7
1555986797.5801315,5,25674,101,10254,30666638,108,0,1
1555986797.5801315,6,26688,40,12003,30656550,7140,0,59
1555986797.5801315,7,31670,56,13811,30637647,4798,0,3998
1555986797.6801453,-1,233231,1301,117519,245181302,24279,0,12906
1555986797.6801453,0,32019,281,22666,30602784,6443,0,8785
1555986797.6801453,1,37013,425,17338,30641438,1287,0,8
1555986797.6801453,2,27886,263,15284,30656828,985,0,28
1555986797.6801453,3,24163,43,15209,30655561,3380,0,18
1555986797.6801453,4,28115,89,10951,30663824,133,0,7
1555986797.6801453,5,25674,101,10254,30666648,108,0,1
1555986797.6801453,6,26688,40,12003,30656560,7140,0,59
1555986797.6801453,7,31670,56,13811,30637657,4798,0,3998
1555986797.7801404,-1,233231,1301,117529,245181361,24288,0,12906
1555986797.7801404,0,32019,281,22676,30602784,6443,0,8785
1555986797.7801404,1,37013,425,17338,30641441,1294,0,8
1555986797.7801404,2,27886,263,15284,30656838,985,0,28
1555986797.7801404,3,24163,43,15209,30655571,3380,0,18
1555986797.7801404,4,28115,89,10951,30663834,133,0,7
1555986797.7801404,5,25674,101,10254,30666658,108,0,1
1555986797.7801404,6,26688,40,12003,30656567,7143,0,59
1555986797.7801404,7,31670,56,13811,30637666,4798,0,3998
1555986797.8801434,-1,233231,1301,117540,245181420,24298,0,12906
1555986797.8801434,0,32019,281,22686,30602784,6443,0,8785
1555986797.8801434,1,37013,425,17338,30641450,1294,0,8
1555986797.8801434,2,27886,263,15284,30656848,985,0,28
1555986797.8801434,3,24163,43,15209,30655581,3380,0,18
1555986797.8801434,4,28115,89,10951,30663844,133,0,7
1555986797.8801434,5,25674,101,10255,30666667,108,0,1
1555986797.8801434,6,26689,40,12003,30656567,7153,0,59
1555986797.8801434,7,31670,56,13811,30637676,4798,0,3998
1555986797.980139,-1,233231,1301,117551,245181479,24308,0,12906
1555986797.980139,0,32019,281,22696,30602784,6443,0,8785
1555986797.980139,1,37014,425,17338,30641460,1294,0,8
1555986797.980139,2,27886,263,15284,30656858,985,0,28
1555986797.980139,3,24163,43,15209,30655591,3380,0,18
1555986797.980139,4,28115,89,10951,30663854,133,0,7
1555986797.980139,5,25674,101,10255,30666676,108,0,1
1555986797.980139,6,26689,40,12003,30656567,7162,0,59
1555986797.980139,7,31670,56,13811,30637686,4798,0,3998
1555986798.0801978,-1,233232,1301,117561,245181539,24317,0,12906
1555986798.0801978,0,32019,281,22706,30602784,6443,0,8785
1555986798.0801978,1,37014,425,17338,30641470,1294,0,8
1555986798.0801978,2,27887,263,15284,30656858,995,0,28
1555986798.0801978,3,24163,43,15209,30655600,3380,0,18
1555986798.0801978,4,28115,89,10951,30663864,133,0,7
1555986798.0801978,5,25674,101,10255,30666686,108,0,1
1555986798.0801978,6,26689,40,12003,30656576,7162,0,59
1555986798.0801978,7,31670,56,13811,30637696,4798,0,3998
1555986798.1801448,-1,233232,1301,117571,245181598,24327,0,12907
1555986798.1801448,0,32019,281,22716,30602784,6443,0,8785
1555986798.1801448,1,37014,425,17338,30641480,1294,0,8
1555986798.1801448,2,27887,263,15284,30656868,995,0,28
1555986798.1801448,3,24163,43,15209,30655610,3380,0,18
1555986798.1801448,4,28115,89,10951,30663874,133,0,7
1555986798.1801448,5,25674,101,10255,30666696,108,0,1
1555986798.1801448,6,26689,40,12003,30656576,7172,0,59
1555986798.1801448,7,31670,56,13811,30637706,4798,0,3998
1555986798.2803926,-1,233232,1301,117576,245181658,24342,0,12907
1555986798.2803926,0,32019,281,22720,30602784,6448,0,8785
1555986798.2803926,1,37014,425,17338,30641490,1294,0,8
1555986798.2803926,2,27887,263,15284,30656878,995,0,28
1555986798.2803926,3,24163,43,15210,30655620,3381,0,18
1555986798.2803926,4,28115,89,10951,30663884,133,0,7
1555986798.2803926,5,25674,101,10255,30666706,108,0,1
1555986798.2803926,6,26689,40,12004,30656577,7181,0,59
1555986798.2803926,7,31670,56,13811,30637716,4798,0,3998
1555986798.3806627,-1,233233,1301,117581,245181722,24351,0,12907
1555986798.3806627,0,32019,281,22724,30602784,6454,0,8785
1555986798.3806627,1,37014,425,17338,30641499,1294,0,8
1555986798.3806627,2,27887,263,15284,30656888,995,0,28
1555986798.3806627,3,24163,43,15210,30655626,3384,0,18
1555986798.3806627,4,28115,89,10951,30663894,133,0,7
1555986798.3806627,5,25674,101,10255,30666716,108,0,1
1555986798.3806627,6,26689,40,12005,30656586,7181,0,59
1555986798.3806627,7,31670,56,13811,30637726,4798,0,3998
1555986798.4807398,-1,233235,1301,117587,245181781,24365,0,12907
1555986798.4807398,0,32019,281,22729,30602784,6459,0,8785
1555986798.4807398,1,37015,425,17338,30641509,1294,0,8
1555986798.4807398,2,27887,263,15284,30656898,995,0,28
1555986798.4807398,3,24163,43,15210,30655636,3384,0,18
1555986798.4807398,4,28115,89,10951,30663904,133,0,7
1555986798.4807398,5,25674,101,10255,30666726,108,0,1
1555986798.4807398,6,26689,40,12005,30656586,7190,0,59
1555986798.4807398,7,31670,56,13811,30637736,4798,0,3998
1555986798.5806632,-1,233236,1301,117592,245181839,24380,0,12907
1555986798.5806632,0,32019,281,22733,30602784,6465,0,8785
1555986798.5806632,1,37015,425,17338,30641518,1294,0,8
1555986798.5806632,2,27887,263,15284,30656907,995,0,28
1555986798.5806632,3,24164,43,15210,30655645,3384,0,18
1555986798.5806632,4,28115,89,10951,30663914,133,0,7
1555986798.5806632,5,25674,101,10255,30666736,108,0,1
1555986798.5806632,6,26689,40,12006,30656586,7199,0,59
1555986798.5806632,7,31670,56,13811,30637746,4798,0,3998
1555986798.6805918,-1,233237,1301,117596,245181898,24395,0,12907
1555986798.6805918,0,32019,281,22736,30602784,6471,0,8785
1555986798.6805918,1,37016,425,17338,30641527,1294,0,8
1555986798.6805918,2,27888,263,15284,30656917,995,0,28
1555986798.6805918,3,24164,43,15210,30655655,3384,0,18
1555986798.6805918,4,28115,89,10951,30663924,133,0,7
1555986798.6805918,5,25674,101,10255,30666746,108,0,1
1555986798.6805918,6,26689,40,12007,30656586,7208,0,59
1555986798.6805918,7,31670,56,13811,30637756,4798,0,3998
1555986798.7801561,-1,233238,1301,117603,245181956,24409,0,12907
1555986798.7801561,0,32019,281,22740,30602784,6477,0,8785
1555986798.7801561,1,37017,425,17338,30641536,1294,0,8
1555986798.7801561,2,27888,263,15285,30656927,995,0,28
1555986798.7801561,3,24165,43,15211,30655662,3385,0,18
1555986798.7801561,4,28115,89,10951,30663934,133,0,7
1555986798.7801561,5,25674,101,10255,30666756,108,0,1
1555986798.7801561,6,26689,40,12009,30656587,7215,0,59
1555986798.7801561,7,31670,56,13811,30637766,4798,0,3998
1555986798.8806846,-1,233238,1301,117606,245182016,24425,0,12907
1555986798.8806846,0,32019,281,22742,30602784,6485,0,8785
1555986798.8806846,1,37017,425,17338,30641546,1294,0,8
1555986798.8806846,2,27888,263,15285,30656937,995,0,28
1555986798.8806846,3,24165,43,15211,30655664,3392,0,18
1555986798.8806846,4,28115,89,10951,30663944,133,0,7
1555986798.8806846,5,25674,101,10256,30666766,108,0,1
1555986798.8806846,6,26689,40,12010,30656595,7216,0,59
1555986798.8806846,7,31670,56,13811,30637776,4798,0,3998
1555986798.980624,-1,233240,1301,117611,245182074,24440,0,12907
1555986798.980624,0,32019,281,22746,30602784,6491,0,8785
1555986798.980624,1,37017,425,17338,30641555,1294,0,8
1555986798.980624,2,27888,263,15285,30656946,995,0,28
1555986798.980624,3,24165,43,15211,30655674,3392,0,18
1555986798.980624,4,28115,89,10951,30663953,133,0,7
1555986798.980624,5,25674,101,10256,30666776,108,0,1
1555986798.980624,6,26689,40,12011,30656595,7225,0,59
1555986798.980624,7,31670,56,13811,30637786,4798,0,3998
1555986799.0807002,-1,233241,1301,117613,245182132,24457,0,12907
1555986799.0807002,0,32019,281,22747,30602784,6499,0,8785
1555986799.0807002,1,37018,425,17338,30641565,1294,0,8
1555986799.0807002,2,27888,263,15285,30656956,995,0,28
1555986799.0807002,3,24166,43,15212,30655681,3394,0,18
1555986799.0807002,4,28115,89,10951,30663963,133,0,7
1555986799.0807002,5,25674,101,10256,30666786,108,0,1
1555986799.0807002,6,26689,40,12011,30656597,7233,0,59
1555986799.0807002,7,31670,56,13811,30637796,4798,0,3998
1555986799.1806524,-1,233242,1301,117618,245182191,24471,0,12907
1555986799.1806524,0,32019,281,22751,30602784,6505,0,8785
1555986799.1806524,1,37018,425,17338,30641574,1294,0,8
1555986799.1806524,2,27888,263,15285,30656966,995,0,28
1555986799.1806524,3,24166,43,15212,30655684,3400,0,18
1555986799.1806524,4,28115,89,10951,30663973,133,0,7
1555986799.1806524,5,25674,101,10256,30666796,108,0,1
1555986799.1806524,6,26689,40,12011,30656605,7234,0,59
1555986799.1806524,7,31670,56,13811,30637806,4798,0,3998
1555986799.280648,-1,233243,1301,117624,245182249,24484,0,12907
1555986799.280648,0,32019,281,22755,30602784,6511,0,8785
1555986799.280648,1,37019,425,17338,30641584,1294,0,8
1555986799.280648,2,27889,263,15285,30656975,995,0,28
1555986799.280648,3,24167,43,15212,30655693,3400,0,18
1555986799.280648,4,28115,89,10951,30663983,133,0,7
1555986799.280648,5,25674,101,10256,30666806,108,0,1
1555986799.280648,6,26689,40,12014,30656605,7241,0,59
1555986799.280648,7,31670,56,13811,30637816,4798,0,3998
1555986799.3801143,-1,233247,1301,117632,245182307,24495,0,12907
1555986799.3801143,0,32019,281,22755,30602792,6512,0,8785
1555986799.3801143,1,37019,425,17338,30641593,1294,0,8
1555986799.3801143,2,27889,263,15285,30656984,995,0,28
1555986799.3801143,3,24167,43,15212,30655703,3400,0,18
1555986799.3801143,4,28115,89,10951,30663993,133,0,7
1555986799.3801143,5,25674,101,10256,30666816,108,0,1
1555986799.3801143,6,26689,40,12014,30656605,7251,0,59
1555986799.3801143,7,31673,56,13817,30637817,4798,0,3998
