timestamp, name, index, utilization.gpu [%], utilization.memory [%]
2019/05/17 10:38:27.011, GeForce 940MX, 0, 15 %, 10 %
2019/05/17 10:38:27.112, GeForce 940MX, 0, 29 %, 20 %
2019/05/17 10:38:27.213, GeForce 940MX, 0, 29 %, 20 %
2019/05/17 10:38:27.313, GeForce 940MX, 0, 28 %, 19 %
2019/05/17 10:38:27.413, GeForce 940MX, 0, 28 %, 19 %
2019/05/17 10:38:27.513, GeForce 940MX, 0, 0 %, 0 %
2019/05/17 10:38:27.614, GeForce 940MX, 0, 4 %, 3 %
2019/05/17 10:38:27.714, GeForce 940MX, 0, 4 %, 3 %
2019/05/17 10:38:27.814, GeForce 940MX, 0, 9 %, 7 %
2019/05/17 10:38:27.915, GeForce 940MX, 0, 9 %, 7 %
2019/05/17 10:38:28.015, GeForce 940MX, 0, 15 %, 11 %
2019/05/17 10:38:28.115, GeForce 940MX, 0, 9 %, 7 %
2019/05/17 10:38:28.216, GeForce 940MX, 0, 9 %, 7 %
2019/05/17 10:38:28.316, GeForce 940MX, 0, 0 %, 0 %
2019/05/17 10:38:28.416, GeForce 940MX, 0, 0 %, 0 %
2019/05/17 10:38:28.517, GeForce 940MX, 0, 9 %, 7 %
2019/05/17 10:38:28.617, GeForce 940MX, 0, 0 %, 0 %
2019/05/17 10:38:28.717, GeForce 940MX, 0, 0 %, 0 %
2019/05/17 10:38:28.818, GeForce 940MX, 0, 13 %, 11 %
2019/05/17 10:38:28.918, GeForce 940MX, 0, 13 %, 11 %
2019/05/17 10:38:29.018, GeForce 940MX, 0, 8 %, 4 %
2019/05/17 10:38:29.119, GeForce 940MX, 0, 0 %, 0 %
2019/05/17 10:38:29.219, GeForce 940MX, 0, 0 %, 0 %
2019/05/17 10:38:29.319, GeForce 940MX, 0, 9 %, 7 %
2019/05/17 10:38:29.420, GeForce 940MX, 0, 9 %, 7 %
2019/05/17 10:38:29.520, GeForce 940MX, 0, 0 %, 0 %
2019/05/17 10:38:29.620, GeForce 940MX, 0, 10 %, 7 %
2019/05/17 10:38:29.721, GeForce 940MX, 0, 10 %, 7 %
