procs -----------------------memory---------------------- ---swap-- -----io---- -system-- --------cpu--------
 r  b         swpd         free         buff        cache   si   so    bi    bo   in   cs  us  sy  id  wa  st
 1  1            0      2080964        70100       873672    0    0     9     3   56  108   0   0  99   0   0
 1  0            0      2062088        72076       889504    0    0  8048     0 1188 2415   2   5  74  19   0
 0  0            0      2051460        74096       894188    0    0  2520     0 1270 2047   2   1  89   9   0
 0  0            0      2051460        74096       894192    0    0     0     0  241  329   1   1  98   0   0
 0  0            0      2051460        74096       894192    0    0     0     0  170  300   1   0  99   0   0
 0  0            0      2051492        74108       894228    0    0     0  1144  168  237   1   1  98   1   0
 0  0            0      2051460        74108       894228    0    0     0     0  187  309   1   0  98   0   0
 0  0            0      2051460        74108       894232    0    0     0     0  443  793   3   1  95   0   0
 1  0            0      2050740        74116       894484    0    0     4     0  922 1229   3   2  95   1   0
 0  1            0      2044112        75444       897228    0    0  2788   236 1208 2250   3   4  83  11   0
