time,cpu,user,nice,system,idle,iowait,irq,softirq
1549117950.645487,-1,671366,511,389936,1166784960,160521,0,897
1549117950.645487,0,48488,1,11143,72940363,4038,0,131
1549117950.645487,1,47355,5,10263,72918626,22896,0,30
1549117950.645487,2,43839,62,12277,72944767,1144,0,25
1549117950.645487,3,44652,71,8932,72928716,19427,0,36
1549117950.645487,4,40906,8,76767,72787253,86165,0,28
1549117950.645487,5,40857,4,119899,72803005,478,0,22
1549117950.645487,6,45526,2,15695,72932189,172,0,22
1549117950.645487,7,42779,0,10540,72939839,182,0,200
1549117950.645487,8,41029,86,16533,72932369,3785,0,54
1549117950.645487,9,44697,54,14307,72943624,2872,0,181
1549117950.645487,10,40676,60,18728,72945112,3403,0,81
1549117950.645487,11,37243,14,12636,72956906,3847,0,19
1549117950.645487,12,40079,11,14798,72952600,2226,0,11
1549117950.645487,13,39313,8,14653,72952760,3033,0,9
1549117950.645487,14,37205,40,19002,72951167,3134,0,32
1549117950.645487,15,36715,80,13756,72955659,3711,0,10
1549117950.7456007,-1,671370,511,389953,1166785092,160526,0,897
1549117950.7456007,0,48488,1,11143,72940373,4038,0,131
1549117950.7456007,1,47355,5,10263,72918636,22896,0,30
1549117950.7456007,2,43839,62,12277,72944777,1144,0,25
1549117950.7456007,3,44653,71,8934,72928722,19427,0,36
1549117950.7456007,4,40906,8,76767,72787263,86165,0,28
1549117950.7456007,5,40857,4,119899,72803014,478,0,22
1549117950.7456007,6,45526,2,15696,72932197,172,0,22
1549117950.7456007,7,42779,0,10541,72939849,182,0,200
1549117950.7456007,8,41029,86,16535,72932378,3785,0,54
1549117950.7456007,9,44697,54,14307,72943633,2872,0,181
1549117950.7456007,10,40677,60,18733,72945117,3403,0,81
1549117950.7456007,11,37244,14,12638,72956914,3847,0,19
1549117950.7456007,12,40079,11,14798,72952609,2226,0,11
1549117950.7456007,13,39314,8,14655,72952766,3033,0,9
1549117950.7456007,14,37206,40,19003,72951176,3134,0,32
1549117950.7456007,15,36715,80,13757,72955662,3716,0,10
1549117950.8454437,-1,671374,511,389971,1166785219,160535,0,897
1549117950.8454437,0,48488,1,11143,72940383,4038,0,131
1549117950.8454437,1,47355,5,10263,72918646,22896,0,30
1549117950.8454437,2,43839,62,12277,72944787,1144,0,25
1549117950.8454437,3,44655,71,8939,72928725,19427,0,36
1549117950.8454437,4,40906,8,76768,72787272,86165,0,28
1549117950.8454437,5,40857,4,119899,72803024,478,0,22
1549117950.8454437,6,45526,2,15696,72932207,172,0,22
1549117950.8454437,7,42779,0,10541,72939858,182,0,200
1549117950.8454437,8,41029,86,16535,72932387,3785,0,54
1549117950.8454437,9,44697,54,14308,72943643,2872,0,181
1549117950.8454437,10,40678,60,18742,72945117,3403,0,81
1549117950.8454437,11,37244,14,12638,72956923,3847,0,19
1549117950.8454437,12,40080,11,14799,72952618,2226,0,11
1549117950.8454437,13,39314,8,14655,72952776,3033,0,9
1549117950.8454437,14,37206,40,19003,72951185,3134,0,32
1549117950.8454437,15,36715,80,13757,72955662,3726,0,10
1549117950.9454415,-1,671379,511,389986,1166785357,160538,0,897
1549117950.9454415,0,48488,1,11143,72940392,4038,0,131
1549117950.9454415,1,47355,5,10263,72918656,22896,0,30
1549117950.9454415,2,43839,62,12277,72944797,1144,0,25
1549117950.9454415,3,44656,71,8941,72928732,19427,0,36
1549117950.9454415,4,40906,8,76772,72787279,86165,0,28
1549117950.9454415,5,40857,4,119899,72803034,478,0,22
1549117950.9454415,6,45526,2,15696,72932217,172,0,22
1549117950.9454415,7,42780,0,10541,72939868,182,0,200
1549117950.9454415,8,41029,86,16535,72932396,3785,0,54
1549117950.9454415,9,44699,54,14309,72943649,2872,0,181
1549117950.9454415,10,40679,60,18751,72945117,3403,0,81
1549117950.9454415,11,37244,14,12638,72956933,3847,0,19
1549117950.9454415,12,40080,11,14799,72952628,2226,0,11
1549117950.9454415,13,39314,8,14656,72952786,3033,0,9
1549117950.9454415,14,37206,40,19003,72951195,3134,0,32
1549117950.9454415,15,36715,80,13758,72955669,3728,0,10
1549117951.0455313,-1,671381,511,389997,1166785503,160538,0,897
1549117951.0455313,0,48488,1,11143,72940402,4038,0,131
1549117951.0455313,1,47355,5,10263,72918666,22896,0,30
1549117951.0455313,2,43839,62,12277,72944807,1144,0,25
1549117951.0455313,3,44656,71,8941,72928742,19427,0,36
1549117951.0455313,4,40906,8,76772,72787289,86165,0,28
1549117951.0455313,5,40857,4,119899,72803044,478,0,22
1549117951.0455313,6,45526,2,15696,72932227,172,0,22
1549117951.0455313,7,42781,0,10541,72939876,182,0,200
1549117951.0455313,8,41029,86,16536,72932406,3785,0,54
1549117951.0455313,9,44700,54,14317,72943651,2872,0,181
1549117951.0455313,10,40679,60,18752,72945126,3403,0,81
1549117951.0455313,11,37244,14,12638,72956943,3847,0,19
1549117951.0455313,12,40080,11,14799,72952638,2226,0,11
1549117951.0455313,13,39314,8,14656,72952796,3033,0,9
1549117951.0455313,14,37206,40,19003,72951205,3134,0,32
1549117951.0455313,15,36715,80,13758,72955679,3728,0,10
